title,year,decade,rated,released,runtime,genre,director,writer,actors,plot,language,country,awards,poster,ratings_source,ratings_value,metascore,imdbrating,imdbvotes,imdbid,dvd,boxoffice,production,website,response,tomatourl
Of Gods and Men,2010,2010,PG-13,25 Mar 2011,122 min,"Drama, History",Xavier Beauvois,"Xavier Beauvois (adaptation), Etienne Comar (scenario)","Lambert Wilson, Michael Lonsdale, Olivier Rabourdin, Philippe Laudenbach","Under threat by fundamentalist terrorists, a group of Trappist monks stationed with an impoverished Algerian community must decide whether to leave or stay.","French, Arabic",France,Nominated for 1 BAFTA Film Award. Another 18 wins & 27 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI5OTE1MDU0MV5BMl5BanBnXkFtZTcwNjE3NjkzNA@@._V1_SX300.jpg,Internet Movie Database,7.2/10,86,7.2,"13,032",tt1588337,05 Jul 2011,"$3,200,000",Sony Pictures Classics,http://www.sonyclassics.com/ofgodsandmen,True,http://www.rottentomatoes.com/m/of_gods_and_men/
August: Osage County,2013,2010,R,10 Jan 2014,121 min,Drama,John Wells,"Tracy Letts (screenplay), Tracy Letts (play)","Meryl Streep, Julia Roberts, Chris Cooper, Ewan McGregor","A look at the lives of the strong-willed women of the Weston family, whose paths have diverged until a family crisis brings them back to the Oklahoma house they grew up in, and to the dysfunctional woman who raised them.",English,USA,Nominated for 2 Oscars. Another 15 wins & 62 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNzQ5ODE4NTcxNV5BMl5BanBnXkFtZTgwNjkyNDQ0MDE@._V1_SX300.jpg,Internet Movie Database,7.2/10,58,7.2,"72,301",tt1322269,08 Apr 2014,"$29,202,643",The Weinstein Company,http://augustosagecountyfilm.com/,True,http://www.rottentomatoes.com/m/august_osage_county/
Live-In Maid,2004,2000,UNRATED,26 May 2005,83 min,Drama,Jorge Gaggero,Jorge Gaggero,"Norma Aleandro, Marcos Mundstock, Claudia Lapacó, Elsa Berenguer","A wealthy woman and her live-in housekeeper must adjust their entrenched routine and relationship when Buenos Aires is plunged into economic crisis.,",Spanish,"Argentina, Spain",7 wins & 8 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY2MTM2MDE2MV5BMl5BanBnXkFtZTcwMjg3OTQ1MQ@@._V1_SX300.jpg,Internet Movie Database,7.2/10,78,7.2,786,tt0356453,04 Dec 2007,N/A,Distribution Company,http://www.aquafilms.com.ar/ingles/films_camaadentro_ing.html,True,http://www.rottentomatoes.com/m/live_in_maid/
Raising Victor Vargas,2002,2000,R,02 May 2003,88 min,"Drama, Romance",Peter Sollett,"Peter Sollett (story), Peter Sollett, Eva Vives (story)","Victor Rasuk, Donna Maldonado, Kevin Rivera, Krystal Rodriguez","A Lower East Side teen-ager struggles to find some sanity while surrounded by an eccentric grandmother, a crazy new girlfriend, and a longing younger brother.","English, Spanish","France, USA",4 wins & 12 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY1ODI4Mzg0Nl5BMl5BanBnXkFtZTgwNTA2OTUxNTE@._V1_SX300.jpg,Internet Movie Database,7.2/10,83,7.2,"4,851",tt0316188,26 Aug 2003,"$1,965,981",Fireworks Pictures,http://www.raisingvictorvargas.com,True,http://www.rottentomatoes.com/m/raising_victor_vargas/
Half Nelson,2006,2000,R,22 Sep 2006,106 min,Drama,Ryan Fleck,"Ryan Fleck, Anna Boden","Ryan Gosling, Jeff Lima, Shareeka Epps, Nathan Corbett",An inner-city junior high school teacher with a drug habit forms an unlikely friendship with one of his students after she discovers his secret.,English,USA,Nominated for 1 Oscar. Another 29 wins & 47 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg4ODg1OTIwNl5BMl5BanBnXkFtZTcwOTA3ODQzMQ@@._V1_SX300.jpg,Internet Movie Database,7.2/10,85,7.2,"74,201",tt0468489,24 Apr 2007,"$2,591,047",ThinkFilm,http://www.halfnelsonthefilm.com,True,http://www.rottentomatoes.com/m/half_nelson/
Cold Mountain,2003,2000,R,25 Dec 2003,154 min,"Adventure, Drama, History",Anthony Minghella,"Charles Frazier (book), Anthony Minghella (screenplay)","Jude Law, Nicole Kidman, Renée Zellweger, Eileen Atkins","In the waning days of the American Civil War, a wounded soldier embarks on a perilous journey back home to Cold Mountain, North Carolina to reunite with his sweetheart.",English,"UK, Italy, Romania, USA",Won 1 Oscar. Another 18 wins & 101 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3NTc5NzcyOF5BMl5BanBnXkFtZTcwMDM0NjQyMQ@@._V1_SX300.jpg,Internet Movie Database,7.2/10,73,7.2,"122,923",tt0159365,29 Jun 2004,N/A,Miramax Films,http://www.miramax.com/cold_mountain/,True,http://www.rottentomatoes.com/m/cold_mountain/
Shattered Glass,2003,2000,PG-13,26 Nov 2003,94 min,"Drama, History",Billy Ray,"Buzz Bissinger (article), Billy Ray","Hayden Christensen, Peter Sarsgaard, Chloë Sevigny, Rosario Dawson",The true story of a young journalist who fell from grace when it was found he had fabricated over half of his articles.,English,"USA, Canada",Nominated for 1 Golden Globe. Another 11 wins & 27 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjExNDI2OTc2MF5BMl5BanBnXkFtZTYwOTA5MjM3._V1_SX300.jpg,Internet Movie Database,7.2/10,73,7.2,"29,885",tt0323944,23 Mar 2004,"$2,105,024",Lions Gate Films Inc.,http://www.shatteredglassmovie.com/index_flash.html,True,http://www.rottentomatoes.com/m/shattered_glass/
Nicholas Nickleby,2002,2000,PG,27 Jun 2003,132 min,"Drama, Romance",Douglas McGrath,"Charles Dickens (novel), Douglas McGrath (screenplay)","Stella Gonet, Andrew Havill, Henry McGrath, Hugh Mitchell","A young, compassionate man struggles to save his family and friends from the abusive exploitation of his cold-heartedly grasping uncle.",English,"UK, USA",Nominated for 1 Golden Globe. Another 1 win & 4 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0MTMwNDY3OF5BMl5BanBnXkFtZTYwODUzMDM3._V1_SX300.jpg,Internet Movie Database,7.2/10,71,7.2,"9,850",tt0309912,22 Jul 2003,"$1,309,849",United Artists,http://www.nicholasnickleby.com/,True,http://www.rottentomatoes.com/m/1119037-nicholas_nickleby/
Chicago,2002,2000,PG-13,24 Jan 2003,113 min,"Comedy, Crime, Musical",Rob Marshall,"Bill Condon (screenplay), Bob Fosse (book), Fred Ebb (book), Maurine Dallas Watkins (play)","Taye Diggs, Cliff Saunders, Catherine Zeta-Jones, Renée Zellweger",Murderesses Velma Kelly and Roxie Hart find themselves on death row together and fight for the fame that will keep them from the gallows in 1920s Chicago.,"English, Hungarian","USA, Germany, Canada",Won 6 Oscars. Another 52 wins & 127 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIyMTg1MzMzNl5BMl5BanBnXkFtZTYwMDU0NTk5._V1_SX300.jpg,Internet Movie Database,7.2/10,82,7.2,"182,458",tt0299658,19 Aug 2003,N/A,Miramax Films,http://www.miramax.com/movie/chicago,True,http://www.rottentomatoes.com/m/chicago/
Sands of Iwo Jima,1949,1940,APPROVED,01 Mar 1950,100 min,"Action, Drama, Romance",Allan Dwan,"Harry Brown (screenplay), James Edward Grant (screenplay), Harry Brown (story)","John Wayne, John Agar, Adele Mara, Forrest Tucker",A dramatization of the World War II Battle of Iwo Jima.,English,USA,Nominated for 4 Oscars. Another 1 win.,https://images-na.ssl-images-amazon.com/images/M/MV5BZmU4NDFiNmEtZmZmYy00NTBlLWJiZTEtOTZmMzhmY2IyNmRiL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,Internet Movie Database,7.2/10,N/A,7.2,"7,729",tt0041841,22 May 2001,N/A,Republic Pictures Home Video,N/A,True,http://www.rottentomatoes.com/m/sands_of_iwo_jima/
The Sessions,2012,2010,R,16 Nov 2012,95 min,"Biography, Comedy, Drama",Ben Lewin,"Ben Lewin (written for the screen by), Mark O'Brien (article)","John Hawkes, Helen Hunt, William H. Macy, Moon Bloodgood",A man in an iron lung who wishes to lose his virginity contacts a professional sex surrogate with the help of his therapist and priest.,English,USA,Nominated for 1 Oscar. Another 18 wins & 63 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNzA5OTUxNDEwNF5BMl5BanBnXkFtZTcwMjczMjEzOA@@._V1_SX300.jpg,Internet Movie Database,7.2/10,79,7.2,"37,561",tt1866249,12 Feb 2013,"$5,997,134",Fox Searchlight Pictures,http://www.foxsearchlight.com/thesessions/,True,http://www.rottentomatoes.com/m/the_sessions/
Michael Collins,1996,1990,R,25 Oct 1996,133 min,"Biography, Drama, Thriller",Neil Jordan,Neil Jordan,"Ian Hart, Julia Roberts, Richard Ingram, Liam Neeson","Neil Jordan's historical biopic of Irish revolutionary Michael Collins, the man who led a guerrilla war against the UK, helped negotiate the creation of the Irish Free State, and led the National Army during the Irish Civil War.",English,"UK, Ireland, USA",Nominated for 2 Oscars. Another 4 wins & 15 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BYzRlYjBlZDQtMDczMS00MzI2LWE0ZmItZWMwMTBiYWE0YmUzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Internet Movie Database,7.1/10,60,7.1,"25,327",tt0117039,27 Aug 1997,N/A,Warner Bros.,N/A,True,http://www.rottentomatoes.com/m/michael_collins/
Flags of our Fathers,2006,2000,R,20 Oct 2006,135 min,"Drama, History, War",Clint Eastwood,"William Broyles Jr. (screenplay), Paul Haggis (screenplay), James Bradley (book), Ron Powers (book)","Ryan Phillippe, Jesse Bradford, Adam Beach, John Benjamin Hickey","The life stories of the six men who raised the flag at the Battle of Iwo Jima, a turning point in World War II.",English,USA,Nominated for 2 Oscars. Another 15 wins & 24 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2MjYxMjMyMF5BMl5BanBnXkFtZTYwMzAwMDc3._V1_SX300.jpg,Internet Movie Database,7.1/10,79,7.1,"105,047",tt0418689,06 Feb 2007,"$33,600,000",Paramount,http://www.flagsofourfathers.com/,True,http://www.rottentomatoes.com/m/flags_of_our_fathers/
Arthur Christmas,2011,2010,PG,23 Nov 2011,97 min,"Animation, Adventure, Comedy","Sarah Smith, Barry Cook","Peter Baynham (screenplay), Sarah Smith (screenplay)","James McAvoy, Hugh Laurie, Bill Nighy, Jim Broadbent",Santa's clumsy son Arthur gets put on a mission with St. Nick's father to give out a present they misplaced to a young girl in less than 2 hours.,English,"UK, USA",Nominated for 1 Golden Globe. Another 3 wins & 23 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYyMjMyMzEzMl5BMl5BanBnXkFtZTcwMDg4NTM5Ng@@._V1_SX300.jpg,Internet Movie Database,7.1/10,69,7.1,"38,767",tt1430607,06 Nov 2012,"$46,440,491",Sony Pictures,http://www.arthurchristmas.com/,True,http://www.rottentomatoes.com/m/arthur_christmas/
The Peanuts Movie,2015,2010,G,06 Nov 2015,88 min,"Animation, Adventure, Comedy",Steve Martino,"Bryan Schulz, Craig Schulz, Cornelius Uliano, Charles M. Schulz (comic strip)","Trombone Shorty, Rebecca Bloom, Anastasia Bredikhina, Francesca Capaldi","Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their arch-nemesis, while his best pal Charlie Brown begins his own epic quest back home to win the love of his life.",English,USA,Nominated for 1 Golden Globe. Another 1 win & 45 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNTE5NzMxNzkwNl5BMl5BanBnXkFtZTgwOTQ0Nzk5NzE@._V1_SX300.jpg,Internet Movie Database,7.1/10,67,7.1,"33,949",tt2452042,08 Mar 2016,"$106,132,048",20th Century Fox,http://www.peanutsmovie.com,True,http://www.rottentomatoes.com/m/the_peanuts_movie/
Pieces of April,2003,2000,PG-13,28 Nov 2003,80 min,"Comedy, Drama",Peter Hedges,Peter Hedges,"Katie Holmes, Derek Luke, Oliver Platt, Alison Pill",A wayward daughter invites her dying mother and the rest of her estranged family to her apartment for Thanksgiving dinner.,"English, Mandarin",USA,Nominated for 1 Oscar. Another 15 wins & 21 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNDQyMDM3MzIyMl5BMl5BanBnXkFtZTcwMzUwMDU2NA@@._V1_SX300.jpg,Internet Movie Database,7.1/10,70,7.1,"18,437",tt0311648,24 Feb 2004,"$2,400,000",United Artists,http://www.magiclanternpr.com/films/pieces_of_april.html,True,http://www.rottentomatoes.com/m/pieces_of_april/
The Charge of the Light Brigade,1936,1930,APPROVED,20 Oct 1936,115 min,"Action, Adventure, Romance",Michael Curtiz,"Alfred Lord Tennyson (poem), Michael Jacoby (original story), Michael Jacoby (screen play), Rowland Leigh (screen play)","Errol Flynn, Olivia de Havilland, Patric Knowles, Henry Stephenson","A major countermands orders and attacks to avenge a previous massacre of men, women, and children.",English,USA,Won 1 Oscar. Another 3 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNmUzYjNjZDQtMjNmZS00OGZmLTg2NzgtMjkyYTZkMmFlYTczXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg,Internet Movie Database,7.1/10,N/A,7.1,"3,621",tt0027438,27 Mar 2007,N/A,WARNER BROTHERS PICTURES,N/A,True,http://www.rottentomatoes.com/m/charge_of_the_light_brigade_1936/
Bronson,2008,2000,R,13 Mar 2009,92 min,"Action, Biography, Crime",Nicolas Winding Refn,"Brock Norman Brock (screenplay), Nicolas Winding Refn (screenplay)","Tom Hardy, Kelly Adams, Luing Andrews, Katy Barker","A young man who was sentenced to seven years in prison for robbing a post office ends up spending three decades in solitary confinement. During this time, his own personality is supplanted by his alter-ego, Charles Bronson.",English,UK,3 wins & 6 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMxOTA2MjA3OV5BMl5BanBnXkFtZTcwODM4Nzc4Mg@@._V1_SX300.jpg,Internet Movie Database,7.1/10,71,7.1,"94,259",tt1172570,09 Feb 2010,"$100,000",Magnolia Pictures,http://www.magnetreleasing.com/bronson/,True,http://www.rottentomatoes.com/m/bronson/
The Outrageous Sophie Tucker,2014,2010,N/A,24 Jul 2015,96 min,Documentary,William Gazecki,N/A,"Barbara Walters, Tony Bennett, Carol Channing, Michael Feinstein","A documentary focusing on the tumultuous early days of this iconic vaudeville superstar who ruled the 1920's Flapper Era in the U.S. Before Mae West, Marilyn Monroe, Bette Midler, Madonna ...",English,USA,N/A,http://ia.media-imdb.com/images/M/MV5BMjExNzIyODY5OV5BMl5BanBnXkFtZTgwNzM0NTQ1NjE@._V1_SX300.jpg,Internet Movie Database,7.1/10,59,7.1,32,tt2825768,10 Aug 2015,N/A,Menemsha Films,http://www.facebook.com/OutrageousSophieTucker,True,http://www.rottentomatoes.com/m/the_outrageous_sophie_tucker/
Transformers,2007,2000,PG-13,03 Jul 2007,144 min,"Action, Adventure, Sci-Fi",Michael Bay,"Roberto Orci (screenplay), Alex Kurtzman (screenplay), John Rogers (story), Roberto Orci (story), Alex Kurtzman (story)","Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson","An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager.","English, Spanish",USA,Nominated for 3 Oscars. Another 20 wins & 41 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNDg1NTU2OWEtM2UzYi00ZWRmLWEwMTktZWNjYWQ1NWM1OThjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Internet Movie Database,7.1/10,61,7.1,"532,331",tt0418279,16 Oct 2007,"$319,014,499",Dreamworks,http://www.transformersmovie.com/,True,https://www.rottentomatoes.com/m/transformers_the_movie
About a Boy,2002,2000,PG-13,17 May 2002,101 min,"Comedy, Drama, Romance","Chris Weitz, Paul Weitz","Nick Hornby (novel), Peter Hedges (screenplay), Chris Weitz (screenplay), Paul Weitz (screenplay)","Hugh Grant, Nicholas Hoult, Sharon Small, Madison Cook","A cynical, immature young man is taught how to act like a grown-up by a little boy.",English,"UK, USA, France, Germany",Nominated for 1 Oscar. Another 11 wins & 29 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2Mzg4MDAzNV5BMl5BanBnXkFtZTgwMjcxNTYxMTE@._V1_SX300.jpg,Internet Movie Database,7.1/10,75,7.1,"149,501",tt0276751,14 Jan 2003,"$40,566,655",Universal Pictures,http://www.about-a-boy.com,True,http://www.rottentomatoes.com/m/about_a_boy/
Wendy and Lucy,2008,2000,R,06 Mar 2009,80 min,Drama,Kelly Reichardt,"Jonathan Raymond (screenplay), Kelly Reichardt (screenplay), Jonathan Raymond (story by)","Michelle Williams, Lucy, David Koppell, Max Clement","Over the summer, a series of unfortunate happening triggers a financial crisis for a young woman and she soon finds her life falling apart.",English,USA,9 wins & 16 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI3MTE1NjAwNV5BMl5BanBnXkFtZTcwMDM3MzMwMg@@._V1_SX300.jpg,Internet Movie Database,7.1/10,80,7.1,"13,142",tt1152850,05 May 2009,"$700,720",Oscilloscope Pictures,http://www.wendyandlucy.com/index.html,True,http://www.rottentomatoes.com/m/wendy_and_lucy/
Charly,1968,1960,PG,23 Sep 1968,103 min,"Drama, Romance, Sci-Fi",Ralph Nelson,"Daniel Keyes (novel), Stirling Silliphant (screenplay)","Cliff Robertson, Claire Bloom, Lilia Skala, Leon Janney",An intellectually disabled man undergoes an experiment that gives him the intelligence of a genius.,English,USA,Won 1 Oscar. Another 3 wins & 6 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMWUxOTM0YjEtNjM1Yi00ZmVlLTllNDYtMDdhYmNkYmE5YzgzXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,Internet Movie Database,7.1/10,N/A,7.1,"5,247",tt0062794,08 Mar 2005,N/A,Cinerama,N/A,True,http://www.rottentomatoes.com/m/1003953-charly/
Ruby in Paradise,1993,1990,R,05 Nov 1993,114 min,"Drama, Romance",Victor Nunez,"Jane Austen (loosely based on novel """"Northanger Abbey""""), Victor Nunez","Ashley Judd, Todd Field, Bentley Mitchum, Allison Dean","Ruby, a young woman, arrives in a Florida resort town during the off season to make a fresh start. She gets work as a sales clerk in a souvineer shop run by Mildred Chambers. She dates, and...",English,USA,3 wins & 7 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk5MTY4ODExNF5BMl5BanBnXkFtZTcwMzM1ODUxMQ@@._V1_SX300.jpg,Internet Movie Database,7.1/10,N/A,7.1,"2,115",tt0108000,20 Apr 1994,N/A,October Films,N/A,True,http://www.rottentomatoes.com/m/ruby_in_paradise/
Iris,2001,2000,R,29 Mar 2002,91 min,"Biography, Drama, Romance",Richard Eyre,"John Bayley (books), Richard Eyre (screenplay), Charles Wood (screenplay)","Kate Winslet, Hugh Bonneville, Judi Dench, Jim Broadbent","True story of the lifelong romance between novelist Iris Murdoch and her husband John Bayley, from their student days through her battle with Alzheimer's disease.",English,"UK, USA",Won 1 Oscar. Another 13 wins & 30 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNTM1MDQwNmEtZDgzMS00YTdmLWI0MjEtOTJlMDE4ZmU2ZGEyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Internet Movie Database,7.1/10,76,7.1,"15,315",tt0280778,20 Aug 2002,"$5,372,026",Miramax Films,http://www.miramaxhighlights.com/iris,True,http://www.rottentomatoes.com/m/1111227-iris/
Deceptive Practice: The Mysteries and Mentors of Ricky Jay,2012,2010,N/A,04 Oct 2012,88 min,Documentary,Molly Bernstein,N/A,"Ricky Jay, Winston Simone, Dick Cavett, David Mamet","Ricky Jay is a world-renowned magician, author, historian and actor (often a mischievous presence in the films of David Mamet and Paul Thomas Anderson) -- and a performer who regularly ...",English,USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ5MzM3NjQ5Ml5BMl5BanBnXkFtZTcwMzcyNTYzOQ@@._V1_SX300.jpg,Internet Movie Database,7.1/10,79,7.1,804,tt2654360,04 Nov 2013,"$151,389",Kino Lorber Films,http://rickyjay.com/,True,http://www.rottentomatoes.com/m/deceptive_practice_the_mysteries_and_mentors_of_ricky_jay/
Wild,2014,2010,R,19 Dec 2014,115 min,"Adventure, Biography, Drama",Jean-Marc Vallée,"Nick Hornby (screenplay), Cheryl Strayed (memoir """"Wild: From Lost to Found on the Pacific Crest Trail"""")","Reese Witherspoon, Laura Dern, Thomas Sadoski, Keene McRae","A chronicle of one woman's 1,100-mile solo hike undertaken as a way to recover from a recent personal tragedy.",English,USA,Nominated for 2 Oscars. Another 11 wins & 64 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTczNzI2MDc1Ml5BMl5BanBnXkFtZTgwOTU5NTYxMjE@._V1_SX300.jpg,Internet Movie Database,7.1/10,76,7.1,"96,588",tt2305051,31 Mar 2015,"$24,673,716",20th Century Fox,http://www.foxsearchlight.com/wild/,True,http://www.rottentomatoes.com/m/wild_2014/
Wag the Dog,1997,1990,R,09 Jan 1998,97 min,"Comedy, Drama",Barry Levinson,"Larry Beinhart (book), Hilary Henkin (screenplay), David Mamet (screenplay)","Dustin Hoffman, Robert De Niro, Anne Heche, Denis Leary","Shortly before an election, a spin-doctor and a Hollywood producer join efforts to fabricate a war in order to cover up a presidential sex scandal.","English, Albanian",USA,Nominated for 2 Oscars. Another 2 wins & 18 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk0NTEyNzEwMF5BMl5BanBnXkFtZTgwNjcwNTcxMTE@._V1_SX300.jpg,Internet Movie Database,7.1/10,73,7.1,"70,041",tt0120885,28 Jul 1998,N/A,New Line Cinema,N/A,True,http://www.rottentomatoes.com/m/wag_the_dog/
Cars,2006,2000,G,09 Jun 2006,117 min,"Animation, Comedy, Family","John Lasseter, Joe Ranft","John Lasseter (original story by), Joe Ranft (original story by), Jorgen Klubien (original story by), Dan Fogelman (screenplay), John Lasseter (screenplay), Joe Ranft (screenplay), Kiel Murray (screenplay), Phil Lorin (screenplay), Jorgen Klubien (screenplay), Steve Purcell (additional screenplay material)","Owen Wilson, Paul Newman, Bonnie Hunt, Larry the Cable Guy","A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family.","English, Italian, Japanese, Yiddish",USA,Nominated for 2 Oscars. Another 27 wins & 30 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5NzY0MzA2MV5BMl5BanBnXkFtZTYwNDc3NTc2._V1_SX300.jpg,Internet Movie Database,7.1/10,73,7.1,"284,765",tt0317219,07 Nov 2006,"$244,052,771",Buena Vista,http://www.carsthemovie.com,True,http://www.rottentomatoes.com/m/cars/
Four Weddings and a Funeral,1994,1990,R,15 Apr 1994,117 min,"Comedy, Drama, Romance",Mike Newell,Richard Curtis,"Hugh Grant, James Fleet, Simon Callow, John Hannah","Over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love.","English, British Sign Language",UK,Nominated for 2 Oscars. Another 24 wins & 23 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMyNzg2NzgxNV5BMl5BanBnXkFtZTcwMTcxNzczNA@@._V1_SX300.jpg,Internet Movie Database,7.1/10,81,7.1,"113,625",tt0109831,07 Sep 1999,N/A,Gramercy Pictures,N/A,True,http://www.rottentomatoes.com/m/four_weddings_and_a_funeral/
State Fair,1945,1940,APPROVED,30 Aug 1945,100 min,"Comedy, Drama, Musical",Walter Lang,"Oscar Hammerstein II (screenplay), Philip Stong (from a novel by), Sonya Levien (adapted by), Paul Green (adapted by)","Jeanne Crain, Dana Andrews, Dick Haymes, Vivian Blaine",The Frake family attends the annual Iowa State Fair; each member of the clan has their own reason for doing so.,English,USA,Won 1 Oscar. Another 3 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BY2U0MmMxNzUtZDQzMC00MGFkLTk5ZmMtOTE2NzM1YTg2OTk2XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,Internet Movie Database,7.1/10,N/A,7.1,"2,908",tt0038116,27 Apr 1999,N/A,20th Century Fox,N/A,True,http://www.rottentomatoes.com/m/1029261-state_fair/
Charlie Wilson's War,2007,2000,R,21 Dec 2007,102 min,"Biography, Comedy, Drama",Mike Nichols,"Aaron Sorkin (screenplay), George Crile (book)","Tom Hanks, Amy Adams, Julia Roberts, Philip Seymour Hoffman","A drama based on a Texas congressman Charlie Wilson's covert dealings in Afghanistan, where his efforts to assist rebels in their war with the Soviets have some unforeseen and long-reaching effects.","English, Dari, Russian, Urdu, Hebrew, Arabic","USA, Germany",Nominated for 1 Oscar. Another 5 wins & 22 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTgwMDgwMDc4MF5BMl5BanBnXkFtZTYwOTU3MDM4._V1_SX300.jpg,Internet Movie Database,7.1/10,69,7.1,"93,005",tt0472062,22 Apr 2008,"$66,636,385",Universal Pictures,http://www.charliewilsonswar.net/,True,http://www.rottentomatoes.com/m/charlie_wilsons_war/
To Save a Life,2009,2000,PG-13,11 Nov 2010,120 min,Drama,Brian Baugh,"Brian Baugh, Jim Britts","Randy Wayne, Deja Kreutzberg, Joshua Weigel, Steven Crowder","After a childhood friend's death, Jake Taylor, an all-star athlete must change his life - and sacrifice his dreams to save the lives of others.",English,USA,2 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAzMzgzMDI1OF5BMl5BanBnXkFtZTcwNTg3NjAwMw@@._V1_SX300.jpg,Internet Movie Database,7.1/10,19,7.1,"4,857",tt1270286,03 Aug 2010,"$3,700,734",IDP/Samuel goldwyn Films,http://www.tosavealifemovie.com/,True,http://www.rottentomatoes.com/m/to_save_a_life/
A.I. Artificial Intelligence,2001,2000,PG-13,29 Jun 2001,146 min,"Adventure, Drama, Sci-Fi",Steven Spielberg,"Brian Aldiss (short story """"Supertoys Last All Summer Long""""), Ian Watson (screen story), Steven Spielberg (screenplay)","Haley Joel Osment, Frances O'Connor, Sam Robards, Jake Thomas","A highly advanced robotic boy longs to become """"real"""" so that he can regain the love of his human mother.",English,USA,Nominated for 2 Oscars. Another 16 wins & 67 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNWU2NzEyMDYtM2MyOS00OGM3LWFkNzAtMzRiNzE2ZjU5ZTljXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Internet Movie Database,7.1/10,65,7.1,"251,954",tt0212720,05 Mar 2002,N/A,Dreamworks,http://www.aimovie.com,True,http://www.rottentomatoes.com/m/ai_artificial_intelligence/
Pirates of the Caribbean: At World's End,2007,2000,PG-13,25 May 2007,169 min,"Action, Adventure, Fantasy",Gore Verbinski,"Ted Elliott, Terry Rossio, Ted Elliott (characters), Terry Rossio (characters), Stuart Beattie (characters), Jay Wolpert (characters)","Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley","Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle.",English,USA,Nominated for 2 Oscars. Another 20 wins & 44 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIyNjkxNzEyMl5BMl5BanBnXkFtZTYwMjc3MDE3._V1_SX300.jpg,Internet Movie Database,7.1/10,50,7.1,"506,076",tt0449088,04 Dec 2007,"$309,404,152",Buena Vista,http://disney.go.com/disneypictures/pirates/atworldsend/,True,http://www.rottentomatoes.com/m/pirates_of_the_caribbean_3/
